x,y,s
-6.66,-0.56,6
-4.86,0.17,6
-0.72,-0.22,1
0.74,0.27,0
-1.35,-0.9,1
-6.92,-2.46,6
-4.92,-1.22,6
2.5,2.66,0
-2.12,-2.58,1
4.97,4.04,3
-1.5,-1.68,1
-6.09,-0.57,6
2.86,1.63,0
1.85,1.93,0
-6.64,-0.36,6
-6.63,-0.17,6
4.92,2.88,0
0.47,0.13,1
1.69,1.32,0
-1.43,-1.32,1
1.34,1.14,0
3.33,1.8,0
5.2,3.28,3
-6.95,-2.12,6
4.77,2.88,0
1.42,2.99,0
-6.48,-3.32,5
-5.71,-0.51,6
-6.5,-0.43,6
5.3,3.06,0
-6.97,-2.31,5
-6.59,-0.29,6
-6.31,-0.78,0
0.41,-0.19,1
4.36,3.16,3
-5.85,-0.71,6
-6.2,-0.14,6
-4.23,-4.46,5
1.66,2.63,0
-6.5,-4.35,5
6.48,3.6,0
1.24,0.86,1
1.76,1.66,0
-6.32,-3.34,5
0.86,1.16,0
-1.94,-2.45,1
-5.36,-4.16,5
3.13,2.09,0
-6.35,-0.81,6
-6.83,-1.01,6
-6.74,-1.32,6
1.65,2.53,0
5.83,4.0,0
-1.2,-2.52,1
-1.4,-1.13,1
0.12,0.12,1
-5.85,-0.38,6
-6.86,-4.3,5
-2.18,-1.69,1
-6.39,-3.42,5
-4.85,0.01,6
-4.93,-4.57,5
1.4,2.58,0
3.59,2.41,0
-6.58,-1.53,6
1.38,2.46,0
1.67,1.29,0
1.31,2.77,0
-5.18,-4.03,5
-6.66,0.01,6
-0.27,-1.57,1
2.37,3.01,0
-7.0,-3.32,5
-1.27,-1.36,1
6.07,3.26,0
1.3,2.81,0
1.5,1.5,0
2.41,2.03,0
-4.6,-4.01,5
1.73,2.14,0
-6.25,-0.64,6
4.11,3.09,3
1.0,0.32,0
-1.5,-2.06,1
4.4,3.62,3
2.78,2.36,0
1.03,3.39,0
-5.72,-1.14,6
-6.08,-0.35,6
-5.53,-0.61,6
5.49,4.24,3
3.09,2.79,0
2.75,2.35,0
-6.61,-0.45,6
1.53,2.0,0
-5.7,0.05,6
-0.89,-1.62,1
-5.71,-2.8,6
-5.99,-3.08,5
5.62,4.27,3
0.12,-1.94,1
6.8,4.0,3
4.68,3.89,3
-1.48,-2.62,1
-0.98,-2.35,1
-2.34,-3.05,1
-5.23,-4.0,5
-6.83,-3.26,5
0.11,-2.31,1
2.44,2.77,0
-5.68,-2.36,6
1.44,4.04,0
-6.2,-2.87,6
-6.67,-3.06,5
-5.88,-2.98,5
-5.85,-3.83,5
6.93,4.71,3
-5.26,-3.75,5
2.89,4.15,0
1.03,3.75,0
6.51,4.82,3
-5.58,-4.42,5
6.19,4.32,3
1.18,3.96,0
-6.41,-1.4,6
0.88,3.23,0
1.03,2.71,0
-5.85,-1.62,6
-4.08,-3.54,5
0.36,-0.11,0
4.81,3.24,0
6.63,4.63,3
7.02,4.0,3
5.86,4.92,3
6.0,4.21,3
-5.82,-3.76,5
-5.59,-4.18,5
-6.21,-3.95,5
-6.41,-3.37,5
2.79,3.03,0
-5.27,-3.29,5
4.03,3.68,0
-6.57,-3.88,5
-1.86,-1.76,1
0.82,-0.39,0
5.42,4.23,3
7.25,4.28,3
-1.63,-1.3,1
5.81,4.73,3
-6.11,-3.57,5
-4.68,-3.1,5
0.08,-0.77,1
7.2,4.28,3
-6.88,-1.65,6
-5.47,-3.62,5
-2.59,7.67,2
-6.21,-0.38,6
5.66,4.43,3
-6.8,-4.2,5
6.49,4.75,3
6.01,4.56,3
-6.53,-0.53,6
6.8,4.6,3
-2.21,7.79,2
5.44,4.22,3
7.46,4.51,3
-4.51,-3.1,5
1.97,3.33,0
1.08,2.97,0
1.35,2.58,0
-5.97,-0.82,6
-0.61,-2.21,1
1.26,3.8,0
0.89,3.7,0
-6.03,-4.26,5
0.99,3.59,0
-0.98,-1.18,1
0.19,-1.04,0
5.56,4.61,3
5.07,-4.57,4
5.71,3.93,3
1.16,4.03,0
-1.38,-2.33,1
4.54,4.14,3
-2.12,7.71,2
6.37,4.77,3
-5.31,-3.39,5
7.1,4.59,3
-5.64,-3.93,5
1.53,3.67,0
4.25,3.88,0
-2.21,7.66,2
5.42,4.74,3
5.4,4.22,3
-5.33,-3.82,5
-4.28,-4.07,5
7.26,4.3,3
-6.46,-4.29,5
-4.2,-3.67,5
-0.39,-2.84,1
-1.08,-2.89,1
-5.42,-3.26,5
6.52,4.3,3
-6.11,-1.17,6
-7.1,-3.32,5
6.22,4.58,3
-6.8,-3.52,5
-6.46,-3.71,5
6.39,4.38,0
0.79,-2.01,4
-6.57,-3.03,5
5.45,4.15,3
6.47,4.36,3
-5.15,-3.83,5
-5.74,-3.63,5
-5.07,-3.49,5
-0.27,-2.21,1
-6.64,-0.44,6
-4.19,-2.41,1
5.18,4.22,3
-2.54,-3.49,5
7.28,4.03,3
-5.56,-1.15,6
6.52,4.92,3
-5.59,-3.61,5
5.09,4.41,3
-6.87,-3.56,5
-4.73,-3.84,5
-1.38,-2.93,1
-4.32,-4.32,5
5.86,4.39,3
6.89,4.09,3
4.79,4.56,3
-6.46,-0.08,6
3.22,2.4,0
1.04,3.33,0
6.06,4.35,3
7.21,4.5,3
-6.61,-2.85,5
7.11,4.14,3
1.11,3.7,0
1.15,3.97,0
1.43,3.46,0
6.52,4.46,3
1.83,4.2,0
6.04,4.16,3
1.28,3.44,0
-6.77,-2.6,5
-6.48,-1.54,6
-0.36,-0.58,1
-1.45,-1.89,1
5.37,4.62,3
-5.19,0.17,6
7.04,3.99,3
5.9,-4.31,4
7.16,3.65,3
-6.28,-3.81,5
-1.45,-2.32,1
-5.98,-4.14,5
5.5,4.4,3
-5.44,-3.66,5
1.43,3.23,0
1.09,4.3,0
1.63,3.68,0
7.16,4.13,3
-6.34,-3.97,5
-5.23,-3.31,5
7.12,4.41,3
1.13,3.94,0
7.06,4.65,3
6.84,4.67,3
1.02,3.79,0
-5.53,-3.79,5
-0.6,-0.29,1
-6.41,-3.81,5
-0.36,-0.77,1
5.12,3.94,0
1.1,3.54,0
-6.33,-2.61,5
7.2,4.43,3
6.98,4.48,0
-6.42,-3.66,5
5.78,4.32,3
-1.24,-2.71,1
-5.31,-3.32,5
-4.78,-4.24,5
-6.47,-4.59,5
-6.78,-4.08,5
5.91,4.17,0
0.91,3.35,0
-5.38,-3.53,5
4.13,4.2,0
-0.72,-3.07,0
-6.91,-3.79,5
6.76,4.72,3
5.32,4.18,3
6.04,-4.12,4
-5.27,-4.34,5
-5.97,-3.9,5
-1.41,-2.47,1
4.65,4.01,3
1.55,4.05,0
-5.9,-1.44,6
5.78,4.51,0
-5.16,-3.71,5
6.91,4.28,3
5.6,3.89,3
-5.63,-3.65,5
6.8,4.15,3
-5.78,-4.2,5
-6.53,-1.24,6
6.07,-4.18,4
1.62,4.48,0
6.83,4.56,3
-5.21,-3.23,5
1.09,3.08,0
6.17,-4.8,4
5.09,-4.46,4
6.59,4.88,3
-5.87,-0.15,6
-0.11,-0.84,1
-6.66,-0.77,6
4.19,4.4,0
-7.12,-3.4,5
-0.66,-0.9,1
1.03,2.86,0
7.24,4.32,3
0.96,4.01,0
5.85,4.73,3
-4.96,-4.0,5
-6.15,-3.56,5
6.55,-4.14,4
5.1,4.0,3
-6.25,-1.33,6
-2.46,7.74,2
6.31,-4.67,4
-6.3,-3.02,5
-5.48,-3.55,5
5.79,3.75,3
6.21,4.42,3
6.02,4.13,3
5.43,3.79,0
-6.8,-2.63,6
5.85,4.43,3
-4.76,-3.4,5
6.93,4.83,3
-1.12,-1.9,1
5.98,4.67,3
-1.25,-2.59,1
7.29,4.53,3
-6.84,-2.78,5
-5.81,-1.82,6
7.11,4.42,3
-1.62,-2.14,1
-5.9,-1.42,6
1.13,3.43,0
1.38,3.8,0
-0.32,-0.19,1
6.55,-4.08,4
-6.13,-2.39,6
5.11,4.49,3
-0.33,-1.55,1
4.9,3.92,0
-6.08,-1.16,6
-5.78,-4.51,5
-6.5,-2.41,5
-0.78,-2.47,1
6.82,3.82,3
6.78,4.57,3
1.11,3.98,0
7.0,4.33,3
4.93,4.34,3
4.97,3.68,3
6.21,4.68,3
5.99,-4.68,4
7.4,4.6,3
1.12,3.43,0
5.68,4.17,3
-5.8,-4.1,5
5.13,4.1,3
5.85,4.35,3
-2.33,-2.37,1
7.41,4.23,3
-5.64,-3.06,5
-4.98,-4.53,5
-0.75,-2.15,1
-2.14,7.65,2
-3.73,-2.8,5
6.6,3.75,3
1.55,3.46,0
-6.79,-1.83,6
-5.63,-3.64,5
6.93,4.64,3
-6.25,-3.79,5
6.65,4.9,3
-0.58,-2.14,1
0.98,4.18,0
-5.39,-2.02,6
-2.54,-1.55,5
4.66,4.35,3
-6.47,-4.37,5
5.52,4.64,3
-0.7,-2.4,1
7.49,3.98,3
-5.14,-3.62,5
6.14,4.14,3
-4.99,-3.39,5
6.41,-4.28,4
1.32,2.96,0
5.14,4.18,3
-5.46,-3.87,5
-1.49,-1.06,1
0.77,0.04,0
6.71,3.24,3
5.83,3.63,0
-0.2,0.13,0
0.63,3.81,0
-1.0,-1.96,1
-1.49,-2.32,1
7.29,4.74,3
