hex_x,hex_y,n_cells,state,state_purity,BCL6,CD69,CXCR6,ENTPD1,GZMB,HAVCR2,ID2,ID3,IL7R,ITGAE,KLF2,LEF1,PDCD1,PRF1,RGS1,RUNX3,S1PR1,SELL,SELPLG,SLAMF6,TCF7,TOX,XCL1,ZEB2
1.147,-2.981,77,CD8_c4_Tstr,1.0,0.102,1.04,0.252,0.092,0.425,0.089,1.213,0.207,2.399,0.345,0.479,0.177,0.217,0.332,1.195,0.753,0.148,0.332,0.274,0.124,0.282,0.074,0.265,0.156
5.307,1.242,91,CD8_c3_Tn,0.978,0.123,1.824,0.058,0.034,0.085,0.008,1.209,0.168,2.579,0.095,1.618,0.638,0.069,0.107,0.989,0.692,0.595,1.165,0.435,0.18,0.784,0.014,0.015,0.044
5.88,0.745,66,CD8_c3_Tn,1.0,0.031,1.09,0.022,0.019,0.029,0.0,0.788,0.198,1.955,0.104,1.404,0.474,0.014,0.335,0.306,0.36,0.434,1.04,0.632,0.211,0.893,0.031,0.0,0.054
5.02,1.242,63,CD8_c3_Tn,0.762,0.125,1.439,0.061,0.019,0.017,0.051,1.108,0.05,2.581,0.121,1.45,0.552,0.127,0.058,1.148,0.746,0.518,0.933,0.371,0.114,0.55,0.022,0.058,0.017
0.717,-2.733,283,CD8_c4_Tstr,0.989,0.08,1.048,0.143,0.151,0.557,0.232,1.177,0.35,0.684,0.296,0.555,0.012,0.463,0.526,1.349,0.743,0.057,0.117,0.252,0.173,0.248,0.258,0.268,0.305
4.016,0.994,132,CD8_c0_t-Teff,0.977,0.093,1.394,0.102,0.012,0.28,0.059,1.026,0.144,2.371,0.092,1.299,0.331,0.17,0.293,0.777,0.754,0.22,0.384,0.359,0.059,0.505,0.023,0.163,0.201
3.155,0.497,178,CD8_c0_t-Teff,0.978,0.031,1.694,0.464,0.188,0.809,0.026,1.683,0.141,2.519,0.463,0.559,0.205,0.21,0.492,1.644,0.996,0.133,0.236,0.376,0.171,0.557,0.049,0.7,0.398
1.291,-1.242,14,CD8_c0_t-Teff,0.643,0.113,2.108,0.334,0.13,1.489,0.124,1.587,0.11,1.297,0.355,0.292,0.14,0.305,0.742,1.986,0.894,0.0,0.236,0.22,0.224,0.145,0.394,0.639,0.445
1.291,-2.236,105,CD8_c4_Tstr,0.924,0.133,2.262,0.256,0.04,1.107,0.014,1.59,0.235,2.147,0.351,0.814,0.091,0.275,0.576,1.556,1.134,0.043,0.145,0.31,0.159,0.326,0.103,0.952,0.287
0.287,-0.994,49,CD8_c4_Tstr,0.796,0.058,1.113,0.481,0.203,1.554,0.12,1.341,0.127,1.169,0.608,0.179,0.038,0.293,0.896,0.794,0.415,0.0,0.035,0.342,0.182,0.088,0.195,0.753,0.118
2.008,0.497,182,CD8_c0_t-Teff,0.973,0.135,2.09,0.208,0.065,0.381,0.059,1.355,0.185,1.426,0.287,1.006,0.165,0.199,0.394,1.463,0.851,0.154,0.201,0.379,0.143,0.53,0.148,0.237,0.575
2.868,0.994,141,CD8_c0_t-Teff,0.986,0.097,1.537,0.152,0.04,0.42,0.055,1.139,0.04,1.877,0.152,1.065,0.236,0.141,0.424,1.127,1.13,0.28,0.468,0.393,0.201,0.424,0.099,0.286,0.402
4.446,1.242,87,CD8_c0_t-Teff,0.862,0.181,1.416,0.034,0.039,0.047,0.037,0.793,0.189,2.38,0.096,1.485,0.382,0.094,0.166,0.829,0.728,0.522,0.881,0.224,0.028,0.48,0.016,0.04,0.145
0.0,-1.49,87,CD8_c4_Tstr,0.966,0.031,0.998,0.391,0.06,0.927,0.072,0.951,0.255,0.547,0.425,0.446,0.015,0.305,0.469,0.97,0.35,0.069,0.188,0.501,0.204,0.17,0.21,0.188,0.247
0.43,-1.739,191,CD8_c4_Tstr,0.969,0.065,1.745,0.206,0.016,0.694,0.142,1.316,0.375,1.176,0.404,0.807,0.106,0.227,0.402,1.041,0.504,0.11,0.241,0.27,0.224,0.191,0.151,0.41,0.196
2.725,1.242,119,CD8_c0_t-Teff,0.966,0.223,1.279,0.193,0.07,0.349,0.063,0.933,0.051,1.879,0.224,0.987,0.231,0.14,0.434,1.147,0.878,0.312,0.386,0.582,0.201,0.549,0.092,0.238,0.59
