hex_x,hex_y,n_cells,state,state_purity,BCL6,CD69,CXCR6,ENTPD1,GZMB,HAVCR2,ID2,ID3,IL7R,ITGAE,KLF2,LEF1,PDCD1,PRF1,RGS1,RUNX3,S1PR1,SELL,SELPLG,SLAMF6,TCF7,TOX,XCL1,ZEB2
-6.807,-3.773,25,CD8.TEX,1.0,0.0,0.934,0.7,1.265,2.577,0.408,1.226,0.351,1.067,1.176,0.354,0.0,0.634,1.239,1.382,0.878,0.047,0.164,0.515,0.101,0.0,0.201,0.122,0.861
4.901,4.244,11,CD8.NaiveLike,1.0,0.0,1.227,0.231,0.0,0.163,0.0,0.759,0.458,2.965,0.268,1.007,0.697,0.204,0.229,0.641,0.645,1.001,1.264,0.694,0.0,0.622,0.0,0.089,0.089
4.084,3.301,11,CD8.NaiveLike,0.818,0.086,1.001,0.246,0.118,0.0,0.157,0.91,0.392,3.221,0.422,1.743,0.446,0.073,0.358,0.611,0.69,0.946,0.599,0.56,0.125,0.444,0.0,0.0,0.121
4.901,3.301,16,CD8.NaiveLike,0.75,0.069,1.114,0.0,0.0,0.092,0.0,0.398,0.244,3.027,0.42,1.787,0.641,0.247,0.305,0.687,0.68,0.844,0.779,0.771,0.215,0.687,0.178,0.0,0.565
-6.943,-3.065,23,CD8.TEX,1.0,0.03,1.145,1.054,0.824,1.674,0.57,1.42,0.274,0.555,1.14,0.068,0.0,0.843,0.854,1.921,1.051,0.044,0.08,0.521,0.148,0.048,0.435,0.503,0.505
-6.126,-0.236,14,CD8.TPEX,1.0,0.0,1.078,0.0,0.094,0.089,0.0,0.972,0.622,1.013,0.816,0.179,0.0,0.668,0.36,0.972,0.932,0.155,0.0,0.174,0.0,1.17,0.607,2.728,0.779
2.723,2.358,8,CD8.CM,1.0,0.0,1.133,0.0,0.0,0.0,0.0,0.163,0.134,2.702,0.509,1.028,0.418,0.893,0.564,0.246,0.745,0.544,0.248,0.505,0.184,1.126,0.36,0.334,0.537
-6.535,-1.415,15,CD8.TPEX,0.933,0.323,0.601,0.117,0.703,0.223,0.179,0.623,0.955,1.025,1.057,0.0,0.226,0.272,0.338,0.91,0.547,0.0,0.174,0.599,0.0,0.765,0.638,1.939,0.181
-5.173,-0.472,3,CD8.TPEX,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.732,0.814,0.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283,0.0,0.283,0.944,0.0,0.531
-5.718,-4.244,25,CD8.TEX,1.0,0.058,1.303,1.23,0.445,2.206,0.933,0.92,0.375,0.233,0.99,0.0,0.102,0.663,2.074,1.827,0.62,0.0,0.0,0.769,0.253,0.041,0.32,0.041,0.408
2.042,1.651,6,CD8.CM,1.0,0.0,0.247,0.502,0.0,0.0,0.0,0.0,0.0,1.185,0.557,0.713,0.0,0.273,0.0,0.487,1.337,0.553,0.199,1.121,0.0,1.192,0.0,0.0,0.214
-6.943,-3.537,21,CD8.TEX,1.0,0.078,1.106,1.192,0.631,1.993,0.389,1.065,0.239,0.52,1.421,0.058,0.0,0.919,1.053,1.483,0.685,0.0,0.0,0.864,0.123,0.0,0.402,0.478,0.57
-7.079,-3.773,15,CD8.TEX,1.0,0.06,0.749,1.627,0.823,2.288,0.334,1.156,0.319,1.054,1.535,0.067,0.0,0.973,1.142,1.748,0.566,0.0,0.08,0.335,0.071,0.239,0.384,0.54,0.696
-6.671,-4.009,17,CD8.TEX,0.941,0.0,1.145,1.093,1.245,2.237,1.01,0.931,0.425,0.52,1.12,0.0,0.0,0.671,1.617,1.3,0.777,0.0,0.166,0.585,0.067,0.102,0.509,0.421,0.512
6.399,3.537,24,CD8.NaiveLike,0.875,0.156,1.255,0.066,0.163,0.163,0.0,0.604,0.093,2.452,0.237,1.075,0.631,0.242,0.103,0.845,0.449,0.393,1.335,0.532,0.197,0.664,0.052,0.052,0.069
-6.262,-0.472,22,CD8.TPEX,1.0,0.166,0.711,0.176,0.347,0.185,0.099,0.734,0.352,1.555,0.567,0.207,0.119,0.539,0.272,0.409,0.411,0.0,0.045,0.151,0.054,0.678,0.268,1.931,0.662
-1.498,-2.594,19,CD8.EM,1.0,0.0,1.326,0.56,0.128,1.808,0.067,0.476,0.0,0.395,0.624,0.218,0.141,0.582,0.852,0.941,1.219,0.164,0.24,0.728,0.138,0.272,0.159,0.061,0.566
-5.99,-0.472,14,CD8.TPEX,1.0,0.0,0.938,0.099,0.093,0.0,0.0,0.384,0.807,0.632,1.242,0.23,0.0,0.397,0.329,0.552,0.652,0.0,0.0,0.078,0.215,0.987,0.313,2.288,0.784
-5.582,-4.48,16,CD8.TEX,1.0,0.0,1.192,0.865,0.683,2.284,0.621,0.875,0.442,0.485,0.626,0.178,0.0,1.114,1.811,2.215,0.748,0.0,0.242,0.677,0.19,0.068,0.619,0.055,0.392
-5.037,-3.065,9,CD8.TEX,0.889,0.0,0.934,0.76,0.605,2.13,0.46,0.36,0.488,0.71,1.242,0.247,0.0,0.528,1.219,0.0,0.272,0.213,0.297,0.863,0.137,0.324,1.141,0.137,0.128
-4.22,-1.179,3,CD8.TPEX,0.667,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.99,0.0,0.0,0.0,0.0,0.416,1.537,0.0,0.0,0.375,0.0,1.075,0.0,0.31,0.595
1.906,2.358,17,CD8.CM,1.0,0.083,0.648,0.086,0.0,0.941,0.0,0.473,0.249,1.687,0.926,0.754,0.0,0.347,0.334,0.421,0.918,0.068,0.083,0.361,0.099,0.222,0.249,0.083,0.587
-1.225,-2.594,34,CD8.EM,1.0,0.03,0.904,0.503,0.044,0.757,0.292,0.332,0.026,0.399,0.615,0.28,0.0,0.573,1.246,0.66,0.689,0.205,0.122,0.92,0.124,0.274,0.123,0.035,0.26
3.812,2.83,9,CD8.CM,0.778,0.0,1.145,0.0,0.0,0.227,0.0,0.14,0.0,2.605,0.0,1.896,0.136,0.314,0.234,0.678,0.755,0.0,0.461,1.082,0.0,0.692,0.143,0.0,0.624
1.361,3.301,24,CD8.CM,1.0,0.07,1.132,0.535,0.127,1.623,0.0,0.665,0.119,2.44,0.548,0.498,0.053,0.386,1.011,1.042,0.738,0.063,0.084,0.36,0.209,0.161,0.371,0.755,0.498
2.859,2.122,3,CD8.CM,1.0,0.0,0.983,0.0,0.0,0.556,0.0,0.607,0.0,1.749,0.0,0.754,0.607,0.607,0.0,0.0,0.0,0.0,0.0,0.983,0.0,0.61,0.0,0.0,0.607
-0.817,-1.886,17,CD8.EM,1.0,0.128,0.734,1.208,0.0,0.553,0.441,0.585,0.302,0.228,0.839,0.0,0.0,0.4,1.037,0.723,0.515,0.177,0.0,0.604,0.284,0.362,0.438,0.288,0.127
5.037,4.952,8,CD8.NaiveLike,0.75,0.0,0.76,0.476,0.595,0.774,0.187,0.916,0.0,2.967,0.582,0.318,0.585,0.38,0.421,0.374,0.843,0.903,0.763,1.163,0.189,0.974,0.0,0.0,0.14
-7.215,-3.537,21,CD8.TEX,1.0,0.0,1.118,1.377,0.701,2.164,0.695,1.662,0.18,0.854,1.512,0.132,0.0,0.533,1.191,1.83,0.768,0.0,0.15,0.507,0.137,0.125,0.454,0.294,0.851
-0.408,-2.122,16,CD8.EM,1.0,0.0,0.918,0.621,0.0,0.641,0.141,0.209,0.237,0.447,0.196,0.154,0.142,0.07,0.516,0.532,0.635,0.094,0.313,0.169,0.085,0.193,0.257,0.218,0.085
-5.446,-4.244,14,CD8.TEX,1.0,0.0,0.59,0.842,0.656,2.494,1.022,0.791,0.101,0.228,0.879,0.088,0.073,0.696,1.516,1.329,0.719,0.0,0.309,0.998,0.307,0.0,0.35,0.0,0.088
-1.361,-0.943,25,CD8.EM,1.0,0.052,0.874,0.829,0.039,0.191,0.05,0.598,0.232,0.355,0.275,0.596,0.09,0.74,0.758,1.447,0.879,0.04,0.134,0.811,0.178,0.332,0.451,0.234,0.702
-4.493,-3.537,13,CD8.TEX,1.0,0.0,0.369,0.954,0.695,2.06,0.585,0.187,0.092,0.399,1.203,0.0,0.0,0.351,1.281,0.617,0.52,0.216,0.079,0.901,0.0,0.092,0.459,0.0,0.677
-0.545,-0.943,17,CD8.EM,0.824,0.0,1.625,0.156,0.0,0.411,0.0,0.525,0.159,1.467,0.221,0.252,0.068,0.244,0.655,1.415,1.127,0.0,0.205,0.801,0.077,0.263,0.161,0.253,0.591
2.451,2.358,5,CD8.CM,1.0,0.0,0.422,0.0,0.0,0.0,0.0,0.518,0.0,1.792,0.249,0.614,0.0,0.249,0.208,0.357,1.128,0.0,0.0,0.731,0.0,0.307,0.0,0.591,0.0
-6.807,-1.886,5,CD8.TPEX,1.0,0.0,1.057,0.551,0.871,0.383,0.0,0.668,0.277,0.861,1.178,0.0,0.0,0.956,0.597,0.715,0.272,0.0,0.0,0.455,0.746,0.568,0.341,0.926,0.85
-6.671,-0.236,26,CD8.TPEX,1.0,0.145,0.934,0.234,0.643,0.734,0.128,1.37,0.177,1.606,0.643,0.048,0.0,0.27,0.231,0.384,0.504,0.0,0.073,0.204,0.067,0.688,0.283,2.709,0.487
4.629,4.244,22,CD8.NaiveLike,0.909,0.047,0.956,0.219,0.0,0.0,0.0,0.495,0.184,3.028,0.267,1.473,0.397,0.266,0.232,0.435,0.521,1.133,1.222,0.705,0.14,0.775,0.19,0.069,0.196
