UMAP_1,UMAP_2,state
1.651,2.434,CD8.CM
1.47,1.998,CD8.CM
-6.14,-1.25,CD8.TPEX
-6.705,-0.362,CD8.TPEX
-1.038,-2.211,CD8.EM
-5.966,-0.452,CD8.TPEX
1.098,1.299,CD8.CM
1.075,1.284,CD8.CM
-0.972,-1.322,CD8.TPEX
-1.707,-2.61,CD8.EM
-6.598,-2.19,CD8.TPEX
-6.296,-3.284,CD8.TEX
-4.929,-1.686,CD8.TPEX
1.249,1.729,CD8.CM
-5.856,-0.486,CD8.TPEX
1.958,2.984,CD8.CM
-4.794,-3.156,CD8.TEX
2.198,1.945,CD8.CM
-2.457,-2.538,CD8.EM
2.341,1.543,CD8.CM
-5.637,-0.423,CD8.TPEX
-4.05,-4.004,CD8.TEX
-4.951,-4.205,CD8.TEX
-1.134,-0.871,CD8.EM
-6.609,-1.7,CD8.TPEX
-6.664,-1.373,CD8.TPEX
-5.687,-2.83,CD8.TEX
2.276,1.835,CD8.CM
4.766,2.472,CD8.CM
-7.158,-3.177,CD8.TEX
-5.552,-3.339,CD8.TEX
-6.656,-0.239,CD8.TPEX
-6.373,-0.612,CD8.TPEX
-0.33,-0.722,CD8.EM
-6.951,-3.837,CD8.TEX
-6.705,-0.466,CD8.TPEX
1.702,2.592,CD8.CM
1.281,1.464,CD8.CM
1.05,0.918,CD8.CM
-1.987,-1.828,CD8.EM
-1.26,-2.182,CD8.EM
-6.237,-0.443,CD8.TPEX
-6.085,-0.016,CD8.TPEX
-6.744,-3.084,CD8.TEX
-6.494,-0.291,CD8.TPEX
1.495,1.703,CD8.CM
1.467,0.859,CD8.CM
-5.298,-4.013,CD8.TEX
1.866,1.707,CD8.CM
-6.576,-1.599,CD8.TPEX
0.728,-1.623,CD8.EM
-4.738,0.416,CD8.TPEX
-6.555,-0.1,CD8.TPEX
-0.562,-0.887,CD8.CM
-5.553,-0.513,CD8.TPEX
-6.139,-1.003,CD8.TPEX
-6.602,-0.412,CD8.TPEX
-6.994,-3.482,CD8.TEX
-6.768,-0.668,CD8.TPEX
2.271,1.595,CD8.CM
0.195,-1.891,CD8.CM
-1.436,-1.87,CD8.EM
-7.298,-3.155,CD8.TEX
1.452,2.994,CD8.CM
1.183,3.368,CD8.CM
1.213,1.243,CD8.EM
0.92,3.187,CD8.CM
4.352,4.02,CD8.NaiveLike
-6.405,-2.817,CD8.TEX
-0.843,-1.351,CD8.EM
-5.96,-3.459,CD8.TEX
-4.132,-2.902,CD8.TEX
3.052,3.021,CD8.CM
-6.234,-0.164,CD8.TPEX
-7.155,-3.633,CD8.TEX
-7.166,-3.435,CD8.TEX
-6.992,-4.104,CD8.TEX
-5.837,-0.282,CD8.TPEX
1.658,1.739,CD8.CM
-6.701,-3.7,CD8.TEX
-6.588,-0.477,CD8.TPEX
1.599,1.673,CD8.CM
-0.823,-1.416,CD8.EM
-4.966,-3.117,CD8.TEX
-6.318,-3.228,CD8.TEX
-5.637,-3.011,CD8.TEX
1.947,2.228,CD8.CM
-1.024,-0.573,CD8.EM
-1.032,-2.065,CD8.EM
-6.273,-0.41,CD8.TPEX
-5.975,-3.169,CD8.TEX
-5.131,-3.548,CD8.TEX
1.45,1.79,CD8.CM
-4.845,-4.207,CD8.TEX
0.477,-1.223,CD8.EM
-2.609,7.807,CD8.MAIT
-1.492,-2.06,CD8.EM
6.096,3.636,CD8.NaiveLike
2.194,1.528,CD8.CM
-7.003,-3.114,CD8.TEX
-6.313,-3.33,CD8.TEX
-6.675,-3.58,CD8.TEX
-6.271,-0.421,CD8.TPEX
1.845,1.904,CD8.CM
2.148,2.513,CD8.CM
1.872,3.133,CD8.CM
1.568,1.795,CD8.CM
4.722,3.299,CD8.CM
-5.183,-2.73,CD8.TEX
-5.66,-0.069,CD8.TPEX
-5.082,-0.414,CD8.EM
-6.449,-1.036,CD8.TPEX
-7.055,-2.292,CD8.TEX
-5.006,-3.392,CD8.TEX
2.066,1.393,CD8.CM
-0.303,-2.689,CD8.EM
-6.578,-1.054,CD8.TPEX
-6.237,-0.893,CD8.TPEX
-7.165,-2.855,CD8.TEX
0.633,-0.084,CD8.EM
-0.909,-0.963,CD8.EM
1.66,1.924,CD8.CM
-7.169,-2.139,CD8.TPEX
2.505,2.157,CD8.CM
-6.295,-0.261,CD8.TPEX
2.919,2.661,CD8.CM
-5.991,0.201,CD8.EM
-5.814,-0.067,CD8.TPEX
1.633,1.911,CD8.CM
-6.329,-0.464,CD8.TPEX
-4.421,-4.381,CD8.TEX
